Tool,Provider,Algorithm_ID,Algorithm_Name
OTB,OTB_CLI,GeneratePlyFile,GeneratePlyFile
OTB,OTB_CLI,GenericRegionMerging,GenericRegionMerging
OTB,OTB_CLI,Rasterization,Rasterization
OTB,OTB_CLI,PolygonClassStatistics,PolygonClassStatistics
OTB,OTB_CLI,OpticalCalibration,OpticalCalibration
OTB,OTB_CLI,MultitempFilteringOutcore,MultitempFilteringOutcore
OTB,OTB_CLI,LSMSSmallRegionsMerging,LSMSSmallRegionsMerging
OTB,OTB_CLI,Smoothing,Smoothing
OTB,OTB_CLI,StereoRectificationGridGenerator,StereoRectificationGridGenerator
OTB,OTB_CLI,PixelValue,PixelValue
OTB,OTB_CLI,ConcatenateVectorData,ConcatenateVectorData
OTB,OTB_CLI,ComputeImagesStatistics,ComputeImagesStatistics
OTB,OTB_CLI,SampleSelection,SampleSelection
OTB,OTB_CLI,SARDecompositions,SARDecompositions
OTB,OTB_CLI,VectorClassifier,VectorClassifier
OTB,OTB_CLI,Segmentation,Segmentation
OTB,OTB_CLI,ColorMapping,ColorMapping
OTB,OTB_APP,LargeScaleMeanShift,LargeScaleMeanShift
OTB,OTB_APP,SARBurstExtraction,SARBurstExtraction
OTB,OTB_APP,ObtainUTMZoneFromGeoPoint,ObtainUTMZoneFromGeoPoint
OTB,OTB_APP,VectorDataExtractROI,VectorDataExtractROI
OTB,OTB_APP,SARConcatenateBursts,SARConcatenateBursts
OTB,OTB_APP,ZonalStatistics,ZonalStatistics
OTB,OTB_APP,SpectralAngleClassification,SpectralAngleClassification
OTB,OTB_APP,LocalStatisticExtraction,LocalStatisticExtraction
OTB,OTB_APP,MorphologicalMultiScaleDecomposition,MorphologicalMultiScaleDecomposition
OTB,OTB_APP,MultiResolutionPyramid,MultiResolutionPyramid
OTB,OTB_APP,Segmentation,Segmentation
OTB,OTB_APP,ImageTimeSeriesGapFilling,ImageTimeSeriesGapFilling
OTB,OTB_APP,EdgeExtraction,EdgeExtraction
OTB,OTB_APP,HomologousPointsExtraction,HomologousPointsExtraction
OTB,OTB_APP,FineRegistration,FineRegistration
OTB,OTB_APP,Superimpose,Superimpose
OTB,OTB_APP,SFSTextureExtraction,SFSTextureExtraction
OTB,OTB_APP,ConvertSensorToGeoPoint,ConvertSensorToGeoPoint
OTB,OTB_APP,RigidTransformResample,RigidTransformResample
OTB,OTB_APP,SARDeburst,SARDeburst
OTB,OTB_APP,BandMathX,BandMathX
OTB,OTB_APP,LocalRxDetection,LocalRxDetection
OTB,OTB_APP,VertexComponentAnalysis,VertexComponentAnalysis
OTB,OTB_APP,OpticalCalibration,OpticalCalibration
