tool,provider,algorithm_id,display_name,group,location
GRASS,GRASS,d.barscale,d.barscale,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.colorlist,d.colorlist,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.colortable,d.colortable,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.erase,d.erase,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.font,d.font,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.fontlist,d.fontlist,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.geodesic,d.geodesic,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.graph,d.graph,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.grid,d.grid,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.his,d.his,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.histogram,d.histogram,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.info,d.info,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.labels,d.labels,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.legend,d.legend,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.legend.vect,d.legend.vect,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.linegraph,d.linegraph,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.mon,d.mon,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.northarrow,d.northarrow,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.path,d.path,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.profile,d.profile,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.rast,d.rast,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.rast.arrow,d.rast.arrow,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.rast.num,d.rast.num,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.redraw,d.redraw,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.rgb,d.rgb,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.rhumbline,d.rhumbline,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.text,d.text,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.title,d.title,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.vect,d.vect,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.vect.chart,d.vect.chart,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.vect.thematic,d.vect.thematic,Display,/opt/grass/grass84/bin
GRASS,GRASS,d.where,d.where,Display,/opt/grass/grass84/bin
GRASS,GRASS,db.columns,db.columns,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.connect,db.connect,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.copy,db.copy,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.createdb,db.createdb,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.databases,db.databases,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.describe,db.describe,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.drivers,db.drivers,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.dropdb,db.dropdb,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.execute,db.execute,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.login,db.login,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.select,db.select,Database,/opt/grass/grass84/bin
GRASS,GRASS,db.tables,db.tables,Database,/opt/grass/grass84/bin
GRASS,GRASS,g.access,g.access,General,/opt/grass/grass84/bin
GRASS,GRASS,g.cairocomp,g.cairocomp,General,/opt/grass/grass84/bin
GRASS,GRASS,g.copy,g.copy,General,/opt/grass/grass84/bin
GRASS,GRASS,g.dirseps,g.dirseps,General,/opt/grass/grass84/bin
GRASS,GRASS,g.filename,g.filename,General,/opt/grass/grass84/bin
GRASS,GRASS,g.findetc,g.findetc,General,/opt/grass/grass84/bin
GRASS,GRASS,g.findfile,g.findfile,General,/opt/grass/grass84/bin
GRASS,GRASS,g.gisenv,g.gisenv,General,/opt/grass/grass84/bin
GRASS,GRASS,g.gui,g.gui,General,/opt/grass/grass84/bin
GRASS,GRASS,g.list,g.list,General,/opt/grass/grass84/bin
GRASS,GRASS,g.mapset,g.mapset,General,/opt/grass/grass84/bin
GRASS,GRASS,g.mapsets,g.mapsets,General,/opt/grass/grass84/bin
GRASS,GRASS,g.message,g.message,General,/opt/grass/grass84/bin
GRASS,GRASS,g.mkfontcap,g.mkfontcap,General,/opt/grass/grass84/bin
GRASS,GRASS,g.parser,g.parser,General,/opt/grass/grass84/bin
GRASS,GRASS,g.pnmcomp,g.pnmcomp,General,/opt/grass/grass84/bin
GRASS,GRASS,g.ppmtopng,g.ppmtopng,General,/opt/grass/grass84/bin
GRASS,GRASS,g.proj,g.proj,General,/opt/grass/grass84/bin
GRASS,GRASS,g.region,g.region,General,/opt/grass/grass84/bin
GRASS,GRASS,g.remove,g.remove,General,/opt/grass/grass84/bin
GRASS,GRASS,g.rename,g.rename,General,/opt/grass/grass84/bin
GRASS,GRASS,g.tempfile,g.tempfile,General,/opt/grass/grass84/bin
GRASS,GRASS,g.version,g.version,General,/opt/grass/grass84/bin
GRASS,GRASS,i.albedo,i.albedo,Imagery,/opt/grass/grass84/bin
GRASS,GRASS,i.aster.toar,i.aster.toar,Imagery,/opt/grass/grass84/bin
GRASS,GRASS,i.atcorr,i.atcorr,Imagery,/opt/grass/grass84/bin
GRASS,GRASS,i.biomass,i.biomass,Imagery,/opt/grass/grass84/bin
